url,paragraph_1,paragraph_2,subset,span_1,span_2,Label
https://www.consultant.ru/cons/cgi/online.cgi?from=482692-0&req=doc&base=LAW&n=471848&diff=482692&rnd=9DvCOA#1PCsvoU2J2vc171k,"4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением, благотворительным и иным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;","4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением, общественно полезным фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций;",Гражданский кодекс,"['благотворительным и иным', '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением', 'фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций']","['общественно полезным', '4) по иску государственного органа или органа местного самоуправления, которым право на предъявление требования о ликвидации юридического лица предоставлено законом, в случае систематического осуществления общественной организацией, общественным движением', 'фондом, религиозной организацией деятельности, противоречащей уставным целям таких организаций']","['Contradiction', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=482692-0&req=doc&base=LAW&n=471848&diff=482692&rnd=9DvCOA#1PCsvoU2J2vc171k,"4. Имущество, передаваемое личному фонду его учредителем, принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда. Безвозмездная передача иными лицами имущества в личный фонд не допускается.",4. Имущество личного фонда принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда.,Гражданский кодекс,"['Имущество, передаваемое личному фонду его учредителем,', 'Безвозмездная передача иными лицами имущества в личный фонд не допускается.', 'принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда']","['Имущество личного фонда', '', 'принадлежит личному фонду на праве собственности. Учредитель личного фонда не имеет прав на имущество созданного им фонда']","['Contradiction', 'Addition', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать ему свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу свидетельство о постановке на учет в налоговом органе (если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет.","2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе. В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке на учет в налоговом органе.",Налоговый кодекс,"['выдать ему свидетельство', 'свидетельство', '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', '(если ранее указанное свидетельство не выдавалось) или уведомление о постановке на учет', '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок', 'о постановке на учет в налоговом органе', 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу']","['выдать (направить) ему выписку из Единого государственного реестра налогоплательщиков, содержащую сведения', 'выписку из Единого государственного реестра налогоплательщиков, содержащую сведения', '', '', '2. Налоговый орган обязан осуществить постановку на учет физического лица на основании заявления этого физического лица, поданного в соответствии с пунктами 6, 7 или 7.2 статьи 83 настоящего Кодекса, в течение пяти дней со дня получения указанного заявления налоговым органом и в тот же срок', 'о постановке на учет в налоговом органе', 'В случае, если заявление физического лица направлено по почте заказным письмом либо передано в электронной форме по телекоммуникационным каналам связи или с использованием единого портала государственных и муниципальных услуг в налоговый орган, налоговый орган осуществляет постановку на учет физического лица на основании такого заявления в течение пяти дней со дня получения от органов, указанных в пунктах 3 и 8 статьи 85 настоящего Кодекса, подтверждения содержащихся в этом заявлении сведений и в тот же срок выдает (направляет) физическому лицу']","['Contradiction', 'Contradiction', 'Addition', 'Addition', 'Equivalent', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.","2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю) выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.",Налоговый кодекс,"['уведомление о постановке на учет в налоговом органе таких иностранного гражданина, лица без гражданства.', '2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю']","['выписку из Единого государственного реестра налогоплательщиков, содержащую сведения о постановке таких иностранного гражданина, лица без гражданства на учет в налоговом органе.', '2.1. Налоговый орган обязан осуществить постановку на учет иностранного гражданина, лица без гражданства, указанных в пункте 7.4 статьи 83 настоящего Кодекса, на основании сведений, представленных в соответствии с пунктом 4 статьи 214.2 или пунктом 2 статьи 230 настоящего Кодекса организацией (индивидуальным предпринимателем), являющейся источником выплаты дохода таким иностранному гражданину, лицу без гражданства, по месту нахождения организации (месту жительства индивидуального предпринимателя) в течение пятнадцати дней со дня получения указанных сведений и в тот же срок выдать (направить) указанной организации (индивидуальному предпринимателю']","['Contradiction', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,3) копия свидетельства о постановке организации на учет в налоговом органе,,"3) документ, подтверждающий постановку на учет в налоговом органе;",['Налоговый кодекс'],['3) копия свидетельства о постановке организации'],"['3) документ, подтверждающий постановку']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"4. Органы, осуществляющие государственный кадастровый учет и государственную регистрацию прав на недвижимое имущество, органы (организации, должностные лица), осуществляющие государственную регистрацию транспортных средств, обязаны сообщать имеющиеся у них сведения о зарегистрированных недвижимом имуществе и транспортных средствах (правах и зарегистрированных сделках в отношении недвижимого имущества и транспортных средств), и об их владельцах в федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, или его территориальные органы в течение 10 дней со дня соответствующей регистрации, а также ежегодно до 15 февраля представлять указанные сведения по состоянию на 1 января текущего года и (или) за иные периоды, определенные взаимодействующими органами (организациями, должностными лицами).","4. Органы, осуществляющие государственный кадастровый учет и государственную регистрацию прав на недвижимое имущество, органы (организации, должностные лица), осуществляющие государственную регистрацию транспортных средств (за исключением исполнительных органов субъектов Российской Федерации, уполномоченных на осуществление регионального государственного контроля (надзора) в области технического состояния и эксплуатации самоходных машин и других видов техники), обязаны сообщать имеющиеся у них сведения о зарегистрированных недвижимом имуществе и транспортных средствах (правах и зарегистрированных сделках в отношении недвижимого имущества и транспортных средств), и об их владельцах в федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, или его территориальные органы в течение 10 дней со дня соответствующей регистрации, а также ежегодно до 15 февраля представлять указанные сведения по состоянию на 1 января текущего года и (или) за иные периоды, определенные взаимодействующими органами (организациями, должностными лицами).",Налоговый кодекс,"['', '4. Органы, осуществляющие государственный кадастровый учет и государственную регистрацию прав на недвижимое имущество, органы (организации, должностные лица), осуществляющие государственную регистрацию транспортных средств', 'обязаны сообщать имеющиеся у них сведения о зарегистрированных недвижимом имуществе и транспортных средствах (правах и зарегистрированных сделках в отношении недвижимого имущества и транспортных средств), и об их владельцах в федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, или его территориальные органы в течение 10 дней со дня соответствующей регистрации, а также ежегодно до 15 февраля представлять указанные сведения по состоянию на 1 января текущего года и (или) за иные периоды, определенные взаимодействующими органами (организациями, должностными лицами']","['(за исключением исполнительных органов субъектов Российской Федерации, уполномоченных на осуществление регионального государственного контроля (надзора) в области технического состояния и эксплуатации самоходных машин и других видов техники)', '4. Органы, осуществляющие государственный кадастровый учет и государственную регистрацию прав на недвижимое имущество, органы (организации, должностные лица), осуществляющие государственную регистрацию транспортных средств', 'обязаны сообщать имеющиеся у них сведения о зарегистрированных недвижимом имуществе и транспортных средствах (правах и зарегистрированных сделках в отношении недвижимого имущества и транспортных средств), и об их владельцах в федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, или его территориальные органы в течение 10 дней со дня соответствующей регистрации, а также ежегодно до 15 февраля представлять указанные сведения по состоянию на 1 января текущего года и (или) за иные периоды, определенные взаимодействующими органами (организациями, должностными лицами']","['Addition', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) уведомление о постановке на учет в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества.","4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества.",Налоговый кодекс,"['уведомление о постановке на учет в налоговом органе', '4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется)', 'в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества']","['выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет', '4.4. Постановка на учет организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом, в который направляется копия договора инвестиционного товарищества, в течение пяти дней со дня ее получения либо сообщения о выполнении функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется)', 'в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета по договору инвестиционного товарищества']","['Contradiction', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется уведомление о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента.","4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента.",Налоговый кодекс,"['уведомление', '4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется', 'о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента']","['выписка из Единого государственного реестра налогоплательщиков, содержащая сведения', '4.8. Постановка на учет (снятие с учета) в налоговом органе российской организации в качестве налогового агента, указанного в пункте 7.1 статьи 226 настоящего Кодекса, осуществляется налоговыми органами на основании заявления, представляемого этой организацией в налоговый орган по месту своего нахождения в электронной форме по телекоммуникационным каналам связи либо через личный кабинет налогоплательщика, в течение пяти дней со дня получения такого заявления, и в тот же срок организации направляется', 'о постановке на учет (снятии с учета) в соответствующем налоговом органе в качестве налогового агента']","['Contradiction', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"5.3. Снятие с учета организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом в течение пяти дней со дня получения сообщения о прекращении договора инвестиционного товарищества либо о прекращении выполнения функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) уведомление о снятии с учета в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета.","5.3. Снятие с учета организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом в течение пяти дней со дня получения сообщения о прекращении договора инвестиционного товарищества либо о прекращении выполнения функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется) выписка из Единого государственного реестра налогоплательщиков, содержащая сведения о снятии с учета в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета.",Налоговый кодекс,"['уведомление', '5.3. Снятие с учета организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом в течение пяти дней со дня получения сообщения о прекращении договора инвестиционного товарищества либо о прекращении выполнения функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется)', 'о снятии с учета в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета']","['выписка из Единого государственного реестра налогоплательщиков, содержащая сведения', '5.3. Снятие с учета организации в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета, осуществляется налоговым органом в течение пяти дней со дня получения сообщения о прекращении договора инвестиционного товарищества либо о прекращении выполнения функций управляющего товарища в соответствии со статьей 24.1 настоящего Кодекса, и в тот же срок организации выдается (направляется)', 'о снятии с учета в налоговом органе в качестве участника договора инвестиционного товарищества - управляющего товарища, ответственного за ведение налогового учета']","['Contradiction', 'Equivalent', 'Equivalent']"
https://www.consultant.ru/cons/cgi/online.cgi?from=495617-152&req=doc&base=LAW&n=483130&diff=495617&rnd=Xqzgfg#3Q50HnUkTZY2EFWb2,"8. На основе данных учета федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, ведет Единый государственный реестр налогоплательщиков в порядке, установленном федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов. Состав сведений, содержащихся в Едином государственном реестре налогоплательщиков, определяется федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов.","8. На основе данных учета федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, ведет Единый государственный реестр налогоплательщиков в установленном им порядке. Состав сведений, содержащихся в Едином государственном реестре налогоплательщиков, определяется федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов.",Налоговый кодекс,"['в порядке, установленном федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов.', '8. На основе данных учета федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, ведет Единый государственный реестр налогоплательщиков', 'Состав сведений, содержащихся в Едином государственном реестре налогоплательщиков, определяется федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов']","['в установленном им порядке.', '8. На основе данных учета федеральный орган исполнительной власти, уполномоченный по контролю и надзору в области налогов и сборов, ведет Единый государственный реестр налогоплательщиков', 'Состав сведений, содержащихся в Едином государственном реестре налогоплательщиков, определяется федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов']","['Contradiction', 'Equivalent', 'Equivalent']"
